label_key,snomed_codes,diagnosis,ptb_train_records,ptb_train_positives,ptb_train_negatives,ptb_validation_records,ptb_validation_positives,ptb_validation_negatives,ptb_test_records,ptb_test_positives,ptb_test_negatives,chapman_shaoxing_records,chapman_shaoxing_positives,chapman_shaoxing_negatives,ningbo_records,ningbo_positives,ningbo_negatives,target_eligible,headline_eligible,target_exclusion_reasons,headline_exclusion_reasons
164890007,164890007,atrial flutter,17418,59,17359,2183,7,2176,2198,7,2191,10247,445,9802,34905,7615,27290,True,False,,ptb_train_positives<100|ptb_validation_positives<25|ptb_test_positives<25
733534002|164909002,733534002|164909002,complete left bundle branch block / left bundle branch block,17418,428,16990,2183,54,2129,2198,54,2144,10247,205,10042,34905,248,34657,True,True,,
713427006|59118001,713427006|59118001,complete right bundle branch block / right bundle branch block,17418,433,16985,2183,55,2128,2198,54,2144,10247,454,9793,34905,1291,33614,True,True,,
270492004,270492004,1st degree av block,17418,636,16782,2183,80,2103,2198,79,2119,10247,247,10000,34905,893,34012,True,True,,
39732003,39732003,left axis deviation,17418,4129,13289,2183,489,1694,2198,528,1670,10247,382,9865,34905,1163,33742,True,True,,
164947007,164947007,prolonged pr interval,17418,272,17146,2183,34,2149,2198,34,2164,10247,12,10235,34905,40,34865,True,False,,chapman_shaoxing_positives<25
111975006,111975006,prolonged qt interval,17418,95,17323,2183,12,2171,2198,11,2187,10247,57,10190,34905,337,34568,True,False,,ptb_train_positives<100|ptb_validation_positives<25|ptb_test_positives<25
698252002,698252002,nonspecific intraventricular conduction disorder,17418,630,16788,2183,78,2105,2198,79,2119,10247,235,10012,34905,536,34369,True,True,,
426783006,426783006,sinus rhythm,17418,14452,2966,2183,1784,399,2198,1822,376,10247,1826,8421,34905,6299,28606,True,True,,
284470004|63593006,284470004|63593006,premature atrial contraction / supraventricular premature beats,17418,446,16972,2183,55,2128,2198,54,2144,10247,258,9989,34905,1063,33842,True,True,,
164917005,164917005,qwave abnormal,17418,438,16980,2183,55,2128,2198,55,2143,10247,235,10012,34905,828,34077,True,True,,
47665007,47665007,right axis deviation,17418,281,17137,2183,36,2147,2198,26,2172,10247,215,10032,34905,638,34267,True,True,,
426177001,426177001,sinus bradycardia,17418,509,16909,2183,64,2119,2198,64,2134,10247,3889,6358,34905,12670,22235,True,True,,
427084000,427084000,sinus tachycardia,17418,661,16757,2183,83,2100,2198,82,2116,10247,1568,8679,34905,5687,29218,True,True,,
164934002,164934002,t wave abnormal,17418,1875,15543,2183,235,1948,2198,231,1967,10247,1876,8371,34905,5167,29738,True,True,,
59931005,59931005,t wave inversion,17418,235,17183,2183,30,2153,2198,29,2169,10247,157,10090,34905,2720,32185,True,True,,
