label_key,snomed_codes,diagnosis,ptb_train_records,ptb_train_positives,ptb_train_negatives,ptb_validation_records,ptb_validation_positives,ptb_validation_negatives,ptb_test_records,ptb_test_positives,ptb_test_negatives,chapman_shaoxing_records,chapman_shaoxing_positives,chapman_shaoxing_negatives,ningbo_records,ningbo_positives,ningbo_negatives,target_eligible,headline_eligible,target_exclusion_reasons,headline_exclusion_reasons
164889003,164889003,atrial fibrillation,17418,1211,16207,2183,151,2032,2198,152,2046,10247,1780,8467,34905,0,34905,False,False,ningbo_positives<1,ningbo_positives<1|ningbo_positives<25
164890007,164890007,atrial flutter,17418,59,17359,2183,7,2176,2198,7,2191,10247,445,9802,34905,7615,27290,True,False,,ptb_train_positives<100|ptb_validation_positives<25|ptb_test_positives<25
6374002,6374002,bundle branch block,17418,0,17418,2183,0,2183,2198,0,2198,10247,0,10247,34905,385,34520,False,False,ptb_train_positives<1|ptb_validation_positives<1|ptb_test_positives<1|chapman_shaoxing_positives<1,ptb_train_positives<1|ptb_validation_positives<1|ptb_test_positives<1|chapman_shaoxing_positives<1|ptb_train_positives<100|ptb_validation_positives<25|ptb_test_positives<25|chapman_shaoxing_positives<25
426627000,426627000,bradycardia,17418,0,17418,2183,0,2183,2198,0,2198,10247,0,10247,34905,7,34898,False,False,ptb_train_positives<1|ptb_validation_positives<1|ptb_test_positives<1|chapman_shaoxing_positives<1,ptb_train_positives<1|ptb_validation_positives<1|ptb_test_positives<1|chapman_shaoxing_positives<1|ptb_train_positives<100|ptb_validation_positives<25|ptb_test_positives<25|chapman_shaoxing_positives<25|ningbo_positives<25
733534002|164909002,733534002|164909002,complete left bundle branch block / left bundle branch block,17418,428,16990,2183,54,2129,2198,54,2144,10247,205,10042,34905,248,34657,True,True,,
713427006|59118001,713427006|59118001,complete right bundle branch block / right bundle branch block,17418,433,16985,2183,55,2128,2198,54,2144,10247,454,9793,34905,1291,33614,True,True,,
270492004,270492004,1st degree av block,17418,636,16782,2183,80,2103,2198,79,2119,10247,247,10000,34905,893,34012,True,True,,
713426002,713426002,incomplete right bundle branch block,17418,894,16524,2183,112,2071,2198,112,2086,10247,0,10247,34905,246,34659,False,False,chapman_shaoxing_positives<1,chapman_shaoxing_positives<1|chapman_shaoxing_positives<25
39732003,39732003,left axis deviation,17418,4129,13289,2183,489,1694,2198,528,1670,10247,382,9865,34905,1163,33742,True,True,,
445118002,445118002,left anterior fascicular block,17418,1298,16120,2183,163,2020,2198,163,2035,10247,0,10247,34905,380,34525,False,False,chapman_shaoxing_positives<1,chapman_shaoxing_positives<1|chapman_shaoxing_positives<25
164947007,164947007,prolonged pr interval,17418,272,17146,2183,34,2149,2198,34,2164,10247,12,10235,34905,40,34865,True,False,,chapman_shaoxing_positives<25
251146004,251146004,low qrs voltages,17418,145,17273,2183,19,2164,2198,18,2180,10247,249,9998,34905,794,34111,False,False,cross-hospital source mappings conflate low QRS voltage and poor R-wave progression,cross-hospital source mappings conflate low QRS voltage and poor R-wave progression|ptb_validation_positives<25|ptb_test_positives<25
111975006,111975006,prolonged qt interval,17418,95,17323,2183,12,2171,2198,11,2187,10247,57,10190,34905,337,34568,True,False,,ptb_train_positives<100|ptb_validation_positives<25|ptb_test_positives<25
698252002,698252002,nonspecific intraventricular conduction disorder,17418,630,16788,2183,78,2105,2198,79,2119,10247,235,10012,34905,536,34369,True,True,,
426783006,426783006,sinus rhythm,17418,14452,2966,2183,1784,399,2198,1822,376,10247,1826,8421,34905,6299,28606,True,True,,
284470004|63593006,284470004|63593006,premature atrial contraction / supraventricular premature beats,17418,446,16972,2183,55,2128,2198,54,2144,10247,258,9989,34905,1063,33842,True,True,,
10370003,10370003,pacing rhythm,17418,237,17181,2183,29,2154,2198,28,2170,10247,0,10247,34905,1182,33723,False,False,chapman_shaoxing_positives<1,chapman_shaoxing_positives<1|chapman_shaoxing_positives<25
365413008,365413008,poor R wave Progression,17418,0,17418,2183,0,2183,2198,0,2198,10247,0,10247,34905,638,34267,False,False,ptb_train_positives<1|ptb_validation_positives<1|ptb_test_positives<1|chapman_shaoxing_positives<1,ptb_train_positives<1|ptb_validation_positives<1|ptb_test_positives<1|chapman_shaoxing_positives<1|ptb_train_positives<100|ptb_validation_positives<25|ptb_test_positives<25|chapman_shaoxing_positives<25
