cohort,stratification,subgroup,subgroup_records,label_key,diagnosis,positives,negatives
ptb_validation,age,under_40,284,164890007,atrial flutter,0,284
ptb_validation,age,40_to_64,894,164890007,atrial flutter,5,889
ptb_validation,age,65_plus,1005,164890007,atrial flutter,2,1003
ptb_validation,age,under_40,284,733534002|164909002,complete left bundle branch block / left bundle branch block,1,283
ptb_validation,age,40_to_64,894,733534002|164909002,complete left bundle branch block / left bundle branch block,7,887
ptb_validation,age,65_plus,1005,733534002|164909002,complete left bundle branch block / left bundle branch block,46,959
ptb_validation,age,under_40,284,713427006|59118001,complete right bundle branch block / right bundle branch block,0,284
ptb_validation,age,40_to_64,894,713427006|59118001,complete right bundle branch block / right bundle branch block,13,881
ptb_validation,age,65_plus,1005,713427006|59118001,complete right bundle branch block / right bundle branch block,42,963
ptb_validation,age,under_40,284,270492004,1st degree av block,1,283
ptb_validation,age,40_to_64,894,270492004,1st degree av block,12,882
ptb_validation,age,65_plus,1005,270492004,1st degree av block,67,938
ptb_validation,age,under_40,284,39732003,left axis deviation,13,271
ptb_validation,age,40_to_64,894,39732003,left axis deviation,175,719
ptb_validation,age,65_plus,1005,39732003,left axis deviation,301,704
ptb_validation,age,under_40,284,164947007,prolonged pr interval,1,283
ptb_validation,age,40_to_64,894,164947007,prolonged pr interval,4,890
ptb_validation,age,65_plus,1005,164947007,prolonged pr interval,29,976
ptb_validation,age,under_40,284,111975006,prolonged qt interval,0,284
ptb_validation,age,40_to_64,894,111975006,prolonged qt interval,1,893
ptb_validation,age,65_plus,1005,111975006,prolonged qt interval,11,994
ptb_validation,age,under_40,284,698252002,nonspecific intraventricular conduction disorder,2,282
ptb_validation,age,40_to_64,894,698252002,nonspecific intraventricular conduction disorder,23,871
ptb_validation,age,65_plus,1005,698252002,nonspecific intraventricular conduction disorder,53,952
ptb_validation,age,under_40,284,426783006,sinus rhythm,266,18
ptb_validation,age,40_to_64,894,426783006,sinus rhythm,810,84
ptb_validation,age,65_plus,1005,426783006,sinus rhythm,708,297
ptb_validation,age,under_40,284,284470004|63593006,premature atrial contraction / supraventricular premature beats,2,282
ptb_validation,age,40_to_64,894,284470004|63593006,premature atrial contraction / supraventricular premature beats,12,882
ptb_validation,age,65_plus,1005,284470004|63593006,premature atrial contraction / supraventricular premature beats,41,964
ptb_validation,age,under_40,284,164917005,qwave abnormal,2,282
ptb_validation,age,40_to_64,894,164917005,qwave abnormal,11,883
ptb_validation,age,65_plus,1005,164917005,qwave abnormal,42,963
ptb_validation,age,under_40,284,47665007,right axis deviation,8,276
