label_key,ptb_train_positives,ptb_validation_positives,ptb_test_positives,chapman_shaoxing_positives,ningbo_positives
164890007,59,7,7,445,7615
733534002|164909002,428,54,54,205,248
713427006|59118001,433,55,54,454,1291
270492004,636,80,79,247,893
39732003,4129,489,528,382,1163
164947007,272,34,34,12,40
111975006,95,12,11,57,337
698252002,630,78,79,235,536
426783006,14452,1784,1822,1826,6299
284470004|63593006,446,55,54,258,1063
164917005,438,55,55,235,828
47665007,281,36,26,215,638
426177001,509,64,64,3889,12670
427084000,661,83,82,1568,5687
164934002,1875,235,231,1876,5167
59931005,235,30,29,157,2720
