section,cohort,architecture,rung,label_key,diagnosis,sample_size,metric,value,lower_95,upper_95
constant_predictor_floor,ptb_test,,true_target_prevalence,,,,macro_per_label_ece,2.348548705937831e-17,,
constant_predictor_floor,ptb_test,,true_target_prevalence,,,,pooled_ece,2.241796492031566e-17,,
constant_predictor_floor,ptb_test,,true_target_prevalence,,,,macro_brier,0.05175752335156076,,
constant_predictor_floor,ptb_test,,source_prevalence,,,,macro_per_label_ece,0.001084970672768056,,
constant_predictor_floor,ptb_test,,source_prevalence,,,,pooled_ece,0.001084970672768057,,
constant_predictor_floor,ptb_test,,source_prevalence,,,,macro_brier,0.0517604256006732,,
prevalence,ptb_test,,,733534002|164909002,complete left bundle branch block / left bundle branch block,,target_prevalence,0.02456778889899909,,
prevalence,ptb_test,,,733534002|164909002,complete left bundle branch block / left bundle branch block,,source_prevalence,0.02457228154782409,,
prevalence,ptb_test,,,713427006|59118001,complete right bundle branch block / right bundle branch block,,target_prevalence,0.02456778889899909,,
prevalence,ptb_test,,,713427006|59118001,complete right bundle branch block / right bundle branch block,,source_prevalence,0.02485934091170054,,
prevalence,ptb_test,,,270492004,1st degree av block,,target_prevalence,0.0359417652411283,,
prevalence,ptb_test,,,270492004,1st degree av block,,source_prevalence,0.036513951085084394,,
prevalence,ptb_test,,,39732003,left axis deviation,,target_prevalence,0.24021838034576887,,
prevalence,ptb_test,,,39732003,left axis deviation,,source_prevalence,0.23705362268917213,,
prevalence,ptb_test,,,698252002,nonspecific intraventricular conduction disorder,,target_prevalence,0.0359417652411283,,
prevalence,ptb_test,,,698252002,nonspecific intraventricular conduction disorder,,source_prevalence,0.036169479848432655,,
prevalence,ptb_test,,,426783006,sinus rhythm,,target_prevalence,0.8289353958143767,,
prevalence,ptb_test,,,426783006,sinus rhythm,,source_prevalence,0.82971638534849,,
prevalence,ptb_test,,,284470004|63593006,premature atrial contraction / supraventricular premature beats,,target_prevalence,0.02456778889899909,,
prevalence,ptb_test,,,284470004|63593006,premature atrial contraction / supraventricular premature beats,,source_prevalence,0.02560569525777931,,
prevalence,ptb_test,,,164917005,qwave abnormal,,target_prevalence,0.02502274795268426,,
prevalence,ptb_test,,,164917005,qwave abnormal,,source_prevalence,0.025146400275576988,,
prevalence,ptb_test,,,47665007,right axis deviation,,target_prevalence,0.011828935395814377,,
prevalence,ptb_test,,,47665007,right axis deviation,,source_prevalence,0.01613273624985647,,
prevalence,ptb_test,,,426177001,sinus bradycardia,,target_prevalence,0.029117379435850774,,
prevalence,ptb_test,,,426177001,sinus bradycardia,,source_prevalence,0.029222643242622574,,
