cohort,architecture,label_key,diagnosis,records,positives,prevalence,threshold,net_benefit_calibrated,net_benefit_uncalibrated,net_benefit_treat_all,net_benefit_gain,standardized_net_benefit_calibrated,flagged_fraction,true_positives,false_positives,net_benefit_calibrated_lower_95,net_benefit_calibrated_upper_95,net_benefit_gain_lower_95,net_benefit_gain_upper_95
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.01,0.023942794643431586,0.023947390189428406,0.014714938281817263,0.009227856361614323,0.9745604190048635,0.04094631483166515,53,37,,,,
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.02,0.02383428348591484,0.023843568364561474,0.004661009080611317,0.019173274405303524,0.9701436130007559,0.03776160145586897,53,30,,,,
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.03,0.02371884468542161,0.02376105738112436,-0.005600217629897843,0.02371884468542161,0.9654448262695685,0.036851683348498636,53,28,,,,
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.04,0.02325978161965423,0.023278738246891112,-0.01607521989687595,0.02325978161965423,0.9467592592592592,0.033212010919017286,52,21,,,,
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.05,0.023178966524591733,0.023202911737943584,-0.02677074852736938,0.023178966524591733,0.9434697855750487,0.03275705186533212,52,20,0.015446915089422081,0.03137388007437579,0.015446915089422081,0.03137388007437579
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.06,0.023106111939287168,0.023106111939287168,-0.03769384159680947,0.023106111939287168,0.9405043341213555,0.03230209281164695,52,19,,,,
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.07,0.02304147465437788,0.02307571888422515,-0.04885183989354938,0.02304147465437788,0.937873357228196,0.03184713375796178,52,18,,,,
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.08,0.022985322625311548,0.023064445938995926,-0.06025240337065316,0.022985322625311548,0.9355877616747181,0.03139217470427662,52,17,,,,
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.09,0.022982931536161745,0.022982931536161745,-0.07190352868241857,0.022982931536161745,0.9354904354904354,0.030482256596906277,52,15,,,,
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,2198,54,0.02456778889899909,0.1,0.022444646648468305,0.02249519765443332,-0.08381356789000101,0.022444646648468305,0.9135802469135803,0.03002729754322111,51,15,0.014559280937636962,0.03073108703340588,0.014559280937636962,0.03073108703340588
