section,cohort,external_cohort,label_key,diagnosis,headline,finding_class,feature,orientation,metric,value,lower_95,upper_95
detection_failure,ptb_test,,,,,,r_peak,,failure_rate,0.0,,
detection_failure,ptb_test,,,,,,p_wave,,failure_rate,0.5204731574158326,,
detection_failure,ptb_test,,,,,,t_wave_end,,failure_rate,0.029572338489535943,,
feature_validation,ptb_test,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,univariate_auroc,0.9552666647141518,,
feature_validation,ptb_test,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,univariate_auroc,0.9574323389736733,,
feature_validation,ptb_test,,39732003,left axis deviation,True,geometric,frontal_axis_degrees,-1.0,univariate_auroc,0.8779849392124841,,
feature_validation,ptb_test,,47665007,right axis deviation,True,geometric,frontal_axis_degrees,1.0,univariate_auroc,0.8769655758606035,,
feature_validation,ptb_test,,733534002|164909002,complete left bundle branch block / left bundle branch block,True,geometric,qrs_duration_ms,1.0,univariate_auroc,0.9729563985627419,,
feature_validation,ptb_test,,713427006|59118001,complete right bundle branch block / right bundle branch block,True,geometric,qrs_duration_ms,1.0,univariate_auroc,0.9619869402985075,,
feature_validation,ptb_test,,164947007,prolonged pr interval,False,,pr_interval_ms,1.0,univariate_auroc,0.8900584795321638,,
feature_validation,ptb_test,,111975006,prolonged qt interval,False,,qt_interval_ms,1.0,univariate_auroc,0.6739782366549567,,
rate_detector_check,ptb_test,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,positives,64.0,,
rate_detector_check,ptb_test,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,share_of_positives_on_the_defining_side,0.953125,,
rate_detector_check,ptb_test,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,median_measured_rate_bpm,49.586776859504134,,
rate_detector_check,ptb_test,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,auroc_excluding_competing_rhythm_negatives,0.9532674050632911,,
rate_detector_check,ptb_test,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,records_after_exclusion,2039.0,,
rate_detector_check,ptb_test,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,positives,82.0,,
rate_detector_check,ptb_test,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,share_of_positives_on_the_defining_side,0.9512195121951219,,
rate_detector_check,ptb_test,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,median_measured_rate_bpm,109.0909090909091,,
rate_detector_check,ptb_test,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,auroc_excluding_competing_rhythm_negatives,0.9772486508717924,,
rate_detector_check,ptb_test,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,records_after_exclusion,2039.0,,
detection_failure,chapman_shaoxing,,,,,,r_peak,,failure_rate,0.0,,
detection_failure,chapman_shaoxing,,,,,,p_wave,,failure_rate,0.5543085781204254,,
detection_failure,chapman_shaoxing,,,,,,t_wave_end,,failure_rate,0.050941739045574315,,
feature_validation,chapman_shaoxing,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,univariate_auroc,0.9874822567195963,,
feature_validation,chapman_shaoxing,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,univariate_auroc,0.8333642327480595,,
feature_validation,chapman_shaoxing,,39732003,left axis deviation,True,geometric,frontal_axis_degrees,-1.0,univariate_auroc,0.9445081904135144,,
feature_validation,chapman_shaoxing,,47665007,right axis deviation,True,geometric,frontal_axis_degrees,1.0,univariate_auroc,0.8490996253848151,,
feature_validation,chapman_shaoxing,,733534002|164909002,complete left bundle branch block / left bundle branch block,True,geometric,qrs_duration_ms,1.0,univariate_auroc,0.876038686298036,,
feature_validation,chapman_shaoxing,,713427006|59118001,complete right bundle branch block / right bundle branch block,True,geometric,qrs_duration_ms,1.0,univariate_auroc,0.9499186013924358,,
feature_validation,chapman_shaoxing,,164947007,prolonged pr interval,False,,pr_interval_ms,1.0,univariate_auroc,0.893600701293009,,
feature_validation,chapman_shaoxing,,111975006,prolonged qt interval,False,,qt_interval_ms,1.0,univariate_auroc,0.7937820814139325,,
rate_detector_check,chapman_shaoxing,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,positives,3889.0,,
rate_detector_check,chapman_shaoxing,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,share_of_positives_on_the_defining_side,0.9892003085626125,,
rate_detector_check,chapman_shaoxing,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,median_measured_rate_bpm,55.81395348837209,,
rate_detector_check,chapman_shaoxing,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,auroc_excluding_competing_rhythm_negatives,0.996561969545132,,
rate_detector_check,chapman_shaoxing,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,records_after_exclusion,7306.0,,
rate_detector_check,chapman_shaoxing,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,positives,1568.0,,
rate_detector_check,chapman_shaoxing,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,share_of_positives_on_the_defining_side,0.9591836734693877,,
rate_detector_check,chapman_shaoxing,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,median_measured_rate_bpm,109.0909090909091,,
rate_detector_check,chapman_shaoxing,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,auroc_excluding_competing_rhythm_negatives,0.9929522948513668,,
rate_detector_check,chapman_shaoxing,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,records_after_exclusion,7306.0,,
detection_failure,ningbo,,,,,,r_peak,,failure_rate,0.0,,
detection_failure,ningbo,,,,,,p_wave,,failure_rate,0.5520126056438905,,
detection_failure,ningbo,,,,,,t_wave_end,,failure_rate,0.0396218306832832,,
feature_validation,ningbo,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,univariate_auroc,0.9756588063678696,,
feature_validation,ningbo,,427084000,sinus tachycardia,True,geometric,heart_rate_bpm,1.0,univariate_auroc,0.9105399762062218,,
feature_validation,ningbo,,39732003,left axis deviation,True,geometric,frontal_axis_degrees,-1.0,univariate_auroc,0.9368207682666909,,
feature_validation,ningbo,,47665007,right axis deviation,True,geometric,frontal_axis_degrees,1.0,univariate_auroc,0.8308072244396827,,
feature_validation,ningbo,,733534002|164909002,complete left bundle branch block / left bundle branch block,True,geometric,qrs_duration_ms,1.0,univariate_auroc,0.9582208640064336,,
feature_validation,ningbo,,713427006|59118001,complete right bundle branch block / right bundle branch block,True,geometric,qrs_duration_ms,1.0,univariate_auroc,0.9554771288953825,,
feature_validation,ningbo,,164947007,prolonged pr interval,False,,pr_interval_ms,1.0,univariate_auroc,0.8772654498879283,,
feature_validation,ningbo,,111975006,prolonged qt interval,False,,qt_interval_ms,1.0,univariate_auroc,0.7410933352159362,,
rate_detector_check,ningbo,,426177001,sinus bradycardia,True,geometric,heart_rate_bpm,-1.0,positives,12670.0,,
