cohort,row_label,column_label,row_positives,column_positives,joint_positives,conditional_column_given_row
ptb_test,complete left bundle branch block / left bundle branch block,complete left bundle branch block / left bundle branch block,54,54,54,1.0
ptb_test,complete left bundle branch block / left bundle branch block,complete right bundle branch block / right bundle branch block,54,54,0,0.0
ptb_test,complete left bundle branch block / left bundle branch block,1st degree av block,54,79,7,0.12962962962962962
ptb_test,complete left bundle branch block / left bundle branch block,left axis deviation,54,528,26,0.48148148148148145
ptb_test,complete left bundle branch block / left bundle branch block,nonspecific intraventricular conduction disorder,54,79,0,0.0
ptb_test,complete left bundle branch block / left bundle branch block,sinus rhythm,54,1822,32,0.5925925925925926
ptb_test,complete left bundle branch block / left bundle branch block,premature atrial contraction / supraventricular premature beats,54,54,1,0.018518518518518517
ptb_test,complete left bundle branch block / left bundle branch block,qwave abnormal,54,55,1,0.018518518518518517
ptb_test,complete left bundle branch block / left bundle branch block,right axis deviation,54,26,0,0.0
ptb_test,complete left bundle branch block / left bundle branch block,sinus bradycardia,54,64,2,0.037037037037037035
ptb_test,complete left bundle branch block / left bundle branch block,sinus tachycardia,54,82,7,0.12962962962962962
ptb_test,complete left bundle branch block / left bundle branch block,t wave abnormal,54,231,0,0.0
ptb_test,complete left bundle branch block / left bundle branch block,t wave inversion,54,29,0,0.0
ptb_test,complete right bundle branch block / right bundle branch block,complete left bundle branch block / left bundle branch block,54,54,0,0.0
ptb_test,complete right bundle branch block / right bundle branch block,complete right bundle branch block / right bundle branch block,54,54,54,1.0
ptb_test,complete right bundle branch block / right bundle branch block,1st degree av block,54,79,10,0.18518518518518517
ptb_test,complete right bundle branch block / right bundle branch block,left axis deviation,54,528,22,0.4074074074074074
ptb_test,complete right bundle branch block / right bundle branch block,nonspecific intraventricular conduction disorder,54,79,0,0.0
ptb_test,complete right bundle branch block / right bundle branch block,sinus rhythm,54,1822,34,0.6296296296296297
ptb_test,complete right bundle branch block / right bundle branch block,premature atrial contraction / supraventricular premature beats,54,54,3,0.05555555555555555
ptb_test,complete right bundle branch block / right bundle branch block,qwave abnormal,54,55,2,0.037037037037037035
ptb_test,complete right bundle branch block / right bundle branch block,right axis deviation,54,26,8,0.14814814814814814
ptb_test,complete right bundle branch block / right bundle branch block,sinus bradycardia,54,64,1,0.018518518518518517
ptb_test,complete right bundle branch block / right bundle branch block,sinus tachycardia,54,82,2,0.037037037037037035
ptb_test,complete right bundle branch block / right bundle branch block,t wave abnormal,54,231,0,0.0
ptb_test,complete right bundle branch block / right bundle branch block,t wave inversion,54,29,0,0.0
