cohort,architecture,label_key,diagnosis,headline,auroc,auroc_lower_95,auroc_upper_95
ptb_test,xresnet1d101,164890007,atrial flutter,False,0.9623785616483015,0.9166459913485177,1.0
ptb_test,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,True,0.9971755804311775,0.9935451200887805,0.9993339845904161
ptb_test,xresnet1d101,713427006|59118001,complete right bundle branch block / right bundle branch block,True,0.997987493090105,0.9961869619624404,0.9992713331575476
ptb_test,xresnet1d101,270492004,1st degree av block,True,0.9796058565958388,0.9716902062183639,0.9861318699864096
ptb_test,xresnet1d101,39732003,left axis deviation,True,0.9429663400471784,0.9308757489509359,0.953665836240266
ptb_test,xresnet1d101,164947007,prolonged pr interval,False,0.9856067195824726,0.9769972122257865,0.9924227162104111
ptb_test,xresnet1d101,111975006,prolonged qt interval,False,0.9197323024483518,0.8461573060758169,0.9729297745555072
ptb_test,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,True,0.7651029563742152,0.6981167815699808,0.8254895444177727
ptb_test,xresnet1d101,426783006,sinus rhythm,True,0.9377444998481912,0.9238322671531822,0.9515666530079637
ptb_test,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,0.9047125483692647,0.8566795789583934,0.942958156162678
ptb_test,xresnet1d101,164917005,qwave abnormal,True,0.8331650617231579,0.7738301975080718,0.8865782440349276
ptb_test,xresnet1d101,47665007,right axis deviation,True,0.9942626434339141,0.987380596344144,0.9987134267175566
ptb_test,xresnet1d101,426177001,sinus bradycardia,True,0.9564711223055296,0.9297583190621966,0.9768459698955206
ptb_test,xresnet1d101,427084000,sinus tachycardia,True,0.995124256535571,0.9896627391492564,0.9986389738774616
ptb_test,xresnet1d101,164934002,t wave abnormal,True,0.9195095702467334,0.900461950179487,0.9366458475873488
ptb_test,xresnet1d101,59931005,t wave inversion,True,0.958633408053926,0.9396082306365962,0.9751205180481791
ptb_test,s4d,164890007,atrial flutter,False,0.9641390102366826,0.9232513613047512,1.0
ptb_test,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,True,0.9972360420121614,0.9948785148460985,0.9988902490849112
ptb_test,s4d,713427006|59118001,complete right bundle branch block / right bundle branch block,True,0.9977715588723052,0.9959828889849928,0.9991791471434017
ptb_test,s4d,270492004,1st degree av block,True,0.9794863829965174,0.9720447839024838,0.9862372400001734
ptb_test,s4d,39732003,left axis deviation,True,0.9373502994011976,0.9252056244850034,0.9481704312108523
ptb_test,s4d,164947007,prolonged pr interval,False,0.9828340763292378,0.9743303339704529,0.9898712480643603
ptb_test,s4d,111975006,prolonged qt interval,False,0.8439123747765723,0.705675521073681,0.9447800492856694
ptb_test,s4d,698252002,nonspecific intraventricular conduction disorder,True,0.7527971756441121,0.6903311387018578,0.8119014516769474
ptb_test,s4d,426783006,sinus rhythm,True,0.9313444426279281,0.9162180009556227,0.9453428234555777
ptb_test,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,0.8851661829740188,0.8329302124270167,0.9303046813619064
ptb_test,s4d,164917005,qwave abnormal,True,0.8360497178975947,0.7728214986272126,0.8897616175906247
ptb_test,s4d,47665007,right axis deviation,True,0.9906856495254285,0.9811710058738224,0.997055999263564
ptb_test,s4d,426177001,sinus bradycardia,True,0.9576279873477038,0.9311604670764302,0.976507798638597
ptb_test,s4d,427084000,sinus tachycardia,True,0.9945709806814514,0.9900204182353434,0.9979657740252049
ptb_test,s4d,164934002,t wave abnormal,True,0.9155392988641591,0.8958540960700337,0.9328526125023808
ptb_test,s4d,59931005,t wave inversion,True,0.9552312363873389,0.9410872338189915,0.9691755115884718
chapman_shaoxing,xresnet1d101,164890007,atrial flutter,False,0.8940782550683305,0.8809150411034522,0.9075920127778488
chapman_shaoxing,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,True,0.8975221144364401,0.8725396703916387,0.9212994065558685
chapman_shaoxing,xresnet1d101,713427006|59118001,complete right bundle branch block / right bundle branch block,True,0.9768320984466563,0.9685084494261651,0.984275580463185
chapman_shaoxing,xresnet1d101,270492004,1st degree av block,True,0.9725963562753036,0.9641052146975191,0.9798479674006683
chapman_shaoxing,xresnet1d101,39732003,left axis deviation,True,0.9606576213436365,0.9556101653744689,0.9652808920983496
chapman_shaoxing,xresnet1d101,164947007,prolonged pr interval,False,0.9287493893502687,0.8920142872422857,0.958594564517409
chapman_shaoxing,xresnet1d101,111975006,prolonged qt interval,False,0.8027064717731522,0.749534996282177,0.8526457417116811
chapman_shaoxing,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,True,0.6995150500250763,0.6614450921946092,0.7366009392250008
chapman_shaoxing,xresnet1d101,426783006,sinus rhythm,True,0.8484528196017544,0.8403692722558948,0.8564165351418177
chapman_shaoxing,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,0.8561817223752329,0.8318252506831798,0.8780988650142646
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,True,0.8245756156442057,0.7982525274624086,0.8505456605866532
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,True,0.9710424316605467,0.9631935503467868,0.9779620722196646
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,True,0.9821747419808138,0.9799127426450381,0.9842220585666676
chapman_shaoxing,xresnet1d101,427084000,sinus tachycardia,True,0.9946157861692897,0.9924148296923023,0.9962896100929244
chapman_shaoxing,xresnet1d101,164934002,t wave abnormal,True,0.7576116932276346,0.7452197263304038,0.7688847338020935
chapman_shaoxing,xresnet1d101,59931005,t wave inversion,True,0.8532645679331873,0.823712672673859,0.880160456380617
chapman_shaoxing,s4d,164890007,atrial flutter,False,0.8836346171040536,0.8689748607302775,0.897959891838374
chapman_shaoxing,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,True,0.922149897260773,0.9026054163097457,0.9408369285893552
chapman_shaoxing,s4d,713427006|59118001,complete right bundle branch block / right bundle branch block,True,0.9770210313849099,0.9690690345233721,0.9839319455327259
chapman_shaoxing,s4d,270492004,1st degree av block,True,0.9643724696356275,0.9546031573002063,0.9726730717163569
chapman_shaoxing,s4d,39732003,left axis deviation,True,0.9521583258810699,0.9455292877308811,0.9580867089802538
chapman_shaoxing,s4d,164947007,prolonged pr interval,False,0.9301009607555772,0.881376546400983,0.9663665287422896
chapman_shaoxing,s4d,111975006,prolonged qt interval,False,0.7962088735085998,0.7486449926789359,0.8444571383424557
chapman_shaoxing,s4d,698252002,nonspecific intraventricular conduction disorder,True,0.7280913967069305,0.6896452826338213,0.7643782114751373
chapman_shaoxing,s4d,426783006,sinus rhythm,True,0.8504059311378364,0.8425135209805343,0.8579924393262016
chapman_shaoxing,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,0.8289032664613245,0.8044316610304857,0.8515763957689554
chapman_shaoxing,s4d,164917005,qwave abnormal,True,0.8103573584039578,0.7805861637453153,0.8385653911047586
chapman_shaoxing,s4d,47665007,right axis deviation,True,0.9686153147138459,0.9607213322507977,0.9755610266292164
chapman_shaoxing,s4d,426177001,sinus bradycardia,True,0.9799046859569797,0.9775103999220649,0.9821319457514531
chapman_shaoxing,s4d,427084000,sinus tachycardia,True,0.991733873812228,0.990015238342765,0.9933575398636291
chapman_shaoxing,s4d,164934002,t wave abnormal,True,0.7606146231825327,0.7478731450196816,0.7723937082396636
chapman_shaoxing,s4d,59931005,t wave inversion,True,0.8509276385145158,0.8164296674754148,0.8801201341881933
ningbo,xresnet1d101,164890007,atrial flutter,False,0.814185486639814,0.8095291095304278,0.8188700093588464
ningbo,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,True,0.9961098023301163,0.9932764243800795,0.9980568358983215
ningbo,xresnet1d101,713427006|59118001,complete right bundle branch block / right bundle branch block,True,0.9947004049297633,0.992491164390874,0.9965147447361868
ningbo,xresnet1d101,270492004,1st degree av block,True,0.9729797624947337,0.9686430578473805,0.9768037802378061
ningbo,xresnet1d101,39732003,left axis deviation,True,0.9584617694545525,0.954729830031987,0.9619227463852653
ningbo,xresnet1d101,164947007,prolonged pr interval,False,0.9343123476265596,0.9104619544504431,0.9552335706869021
ningbo,xresnet1d101,111975006,prolonged qt interval,False,0.7507896533182435,0.7251552930441484,0.77478393367489
ningbo,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,True,0.5359400587912658,0.5138294156677594,0.5586624655828397
ningbo,xresnet1d101,426783006,sinus rhythm,True,0.8159859630650216,0.8106866265429363,0.8213810605570038
