external_cohort,architecture,label_key,diagnosis,estimand,internal_auroc,external_auroc,shift_delta,shift_delta_lower_95,shift_delta_upper_95,excludes_zero
chapman_shaoxing,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,as_registered,0.9971755804311775,0.8975221144364401,-0.09965346599473734,-0.12496005106830188,-0.07558919247038913,True
chapman_shaoxing,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,union,0.9971755804311775,0.8975221144364401,-0.09965346599473734,-0.12496005106830188,-0.07558919247038913,True
chapman_shaoxing,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,restricted,0.9971755804311775,0.8975221144364401,-0.09965346599473734,-0.12496005106830188,-0.07558919247038913,True
ningbo,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,as_registered,0.9971755804311775,0.9961098023301163,-0.0010657781010612322,-0.0047017958083836135,0.002993011159380082,False
ningbo,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,union,0.9971755804311775,0.9961098023301163,-0.0010657781010612322,-0.0047017958083836135,0.002993011159380082,False
ningbo,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,restricted,0.9971755804311775,0.9961098023301163,-0.0010657781010612322,-0.0047017958083836135,0.002993011159380082,False
chapman_shaoxing,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,as_registered,0.9972360420121614,0.922149897260773,-0.07508614475138842,-0.0945940337941455,-0.05618228127103139,True
chapman_shaoxing,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,union,0.9972360420121614,0.922149897260773,-0.07508614475138842,-0.0945940337941455,-0.05618228127103139,True
chapman_shaoxing,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,restricted,0.9972360420121614,0.922149897260773,-0.07508614475138842,-0.0945940337941455,-0.05618228127103139,True
ningbo,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,as_registered,0.9972360420121614,0.996972403284911,-0.000263638727250437,-0.002460705496414689,0.002322632586429388,False
ningbo,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,union,0.9972360420121614,0.996972403284911,-0.000263638727250437,-0.002460705496414689,0.002322632586429388,False
